"","school_name","school_type","start_med_slry","mid_car_slry","mid_car_10th","mid_car_25th","mid_car_75th","mid_car_90th","region","rank","description","tuiition_fees","in_state","undergrad_enroll","X8"
"1","Auburn University","State",45400,84700,45400,62700,109000,145000,"Auburn, AL",99,NA,28840,10696,21786,NA
"2","Binghamton University","State",53600,95900,50900,71200,146000,201000,"Binghamton, NY",86,NA,22164,9044,13491,NA
"3","Bowling Green State University","State",39800,72100,38200,51800,101000,146000,"Bowling Green, OH",194,85,18332,10796,14334,NA
"4","Brown University","Ivy League",56200,109000,55400,74400,159000,228000,"Providence, RI",14,NA,51367,NA,6652,NA
"5","California Institute of Technology (CIT)","Engineering",75500,123000,NA,104000,161000,NA,"Pasadena, CA",12,11,47577,NA,1001,NA
"6","California State University, Fullerton (CSUF)","State",45700,87000,45400,62500,119000,158000,"Fullerton, CA",202,NA,17596,6436,33144,NA
"7","Clemson University","State",48400,86000,50500,61800,111000,150000,"Clemson, SC",66,NA,32796,14240,18016,NA
"8","Colorado School of Mines","Engineering",58100,106000,62200,87900,142000,201000,"Golden, CO",82,NA,34828,17383,4608,NA
"9","Colorado State University (CSU)","State",44800,79000,43800,57100,112000,150000,"Fort Collins, CO",129,NA,28374,11080,24433,NA
"10","Columbia University","Ivy League",59400,107000,50300,71900,161000,241000,"New York, NY",5,NA,55056,NA,6102,NA
"11","Cornell University","Ivy League",60300,110000,56800,79800,160000,210000,"Ithaca, NY",15,1000,50953,NA,14315,NA
"12","Dartmouth College","Ivy League",58000,134000,63100,90200,234000,321000,"Hanover, NH",11,NA,51438,NA,4307,NA
"13","East Carolina University (ECU)","State",40200,67500,38400,52000,98700,151000,"Greenville, NC",210,80,22904,6946,23039,NA
"14","Florida State University (FSU)","State",42100,73000,39600,52800,107000,156000,"Tallahassee, FL",92,NA,24673,9507,32706,NA
"15","Florida State University (FSU)","Party",42100,73000,39600,52800,107000,156000,"Tallahassee, FL",92,NA,24673,9507,32706,NA
"16","George Mason University","State",47800,86900,51300,67200,114000,150000,"Fairfax, VA",143,NA,32582,11300,23062,NA
"17","Georgia Institute of Technology","Engineering",58300,106000,67200,85200,137000,183000,"Atlanta, GA",34,NA,32404,12212,15142,NA
"18","Harvard University","Ivy League",63400,124000,54800,86200,179000,288000,"Cambridge, MA",2,NA,47074,NA,6699,NA
"19","Illinois Institute of Technology (IIT)","Engineering",56000,97800,56100,77400,121000,165000,"St. Louis, MO",96,NA,40726,NA,8248,NA
"20","Illinois Institute of Technology (IIT)","Engineering",56000,97800,56100,77400,121000,165000,"Chicago, IL",103,NA,45214,NA,2991,NA
